



ALS_Gene_Mutations-measurement
target_row_group	source_table	source_variable_1	source_value_1	source_meaning_1	source_variable_2	source_value_2	source_meaning_2	source_variable_3	source_value_3	source_meaning_3	source_variable_4	source_value_4	source_meaning_4	target_variable_1	target_value_1	target_meaning_1	target_variable_2	target_value_2	target_meaning_2	target_variable_3	target_value_3	target_meaning_3	target_variable_4	target_value_4	target_meaning_4	target_variable_5	target_value_5	target_meaning_5	target_variable_6	target_value_6	target_meaning_6	target_variable_7	target_value_7	target_meaning_7	target_variable_8	target_value_8	target_meaning_8	target_variable_9	target_value_9	target_meaning_9	Notes
1	ALS_Gene_Mutations	angnd	1	ANG Mutation	ang	1	positive	Visit_Date	[relative day]					measurement_concept_id	35961859	ANG (angiogenin) gene variant measurement	value_as_concept_id	9191	Positive	measurement_source_value	<<angnd>>		value_source_value	<<ang>>		measurement_date	<Visit_Date>														
2	ALS_Gene_Mutations	c9orfnd	1	C9ORF72 Mutation	c9orf72	1	positive	Visit_Date	[relative day]					measurement_concept_id	35954626	C9orf72 (C9orf72-SMCR8 complex subunit) gene variant measurement	value_as_concept_id	9191	Positive	measurement_source_value	<<c9orfnd>>		value_source_value	<<c9orf72>>		measurement_date	<Visit_Date>														
3	ALS_Gene_Mutations	fusnd	1	FUS Mutation	fus	1	positive	Visit_Date	[relative day]					measurement_concept_id	19643404	FUS gene rearrangement measurement	value_as_concept_id	9191	Positive	measurement_source_value	<<fusnd>>		value_source_value	<<fus>>		measurement_date	<Visit_Date>														
4	ALS_Gene_Mutations	mutotsp	1	Other Mutation: positive	Visit_Date	[relative day]		mutot	[text]					measurement_concept_id	0		value_as_concept_id	9191	Positive	measurement_source_value	<<mutotsp>>		value_source_value	<<mutotsp>>		measurement_date	<Visit_Date>														
5	ALS_Gene_Mutations	prgrnnd	1	PROGRANULIN Mutation	progran	1	positive	Visit_Date	[relative day]					measurement_concept_id	35951629	GRN (granulin precursor) gene variant measurement	value_as_concept_id	9191	Positive	measurement_source_value	<<prgrnnd>>		value_source_value	<<progran>>		measurement_date	<Visit_Date>														
6	ALS_Gene_Mutations	setxnd	1	SETX Mutation	setx	1	positive	Visit_Date	[relative day]					measurement_concept_id	35958907	SETX (senataxin) gene variant measurement	value_as_concept_id	9191	Positive	measurement_source_value	<<setxnd>>		value_source_value	<<setx>>		measurement_date	<Visit_Date>														
7	ALS_Gene_Mutations	sod1nd	1	SOD1 Mutation	sod1	1	positive	Visit_Date	[relative day]		sod1muta	[text]		measurement_concept_id	35948140	SOD1 (superoxide dismutase 1) gene variant measurement	value_as_concept_id	9191	Positive	measurement_source_value	<<sod1nd>>		value_source_value	<<sod1>>		measurement_date	<Visit_Date>														
8	ALS_Gene_Mutations	taund	1	TAU Mutation	tau	1	positive	Visit_Date	[relative day]					measurement_concept_id	35946715	MAPT (microtubule associated protein tau) gene variant measurement	value_as_concept_id	9191	Positive	measurement_source_value	<<taund>>		value_source_value	<<tau>>		measurement_date	<Visit_Date>														
9	ALS_Gene_Mutations	tdp43nd	1	TDP-43 Mutation	tdp43	1	positive	Visit_Date	[relative day]					measurement_concept_id	35964178	TARDBP (TAR DNA binding protein) gene variant measurement	value_as_concept_id	9191	Positive	measurement_source_value	<<tdp43nd>>		value_source_value	<<tdp43>>		measurement_date	<Visit_Date>														
10	ALS_Gene_Mutations	vapbnd	1	VAPB Mutation	vapb	1	positive	Visit_Date	[relative day]					measurement_concept_id	35956055	VAPB (VAMP associated protein B and C) gene variant measurement	value_as_concept_id	9191	Positive	measurement_source_value	<<vapbnd>>		value_source_value	<<vapb>>		measurement_date	<Visit_Date>														
11	ALS_Gene_Mutations	vcpnd	1	VCP Mutation	vcp	1	positive	Visit_Date	[relative day]					measurement_concept_id	35958302	VCP (valosin containing protein) gene variant measurement	value_as_concept_id	9191	Positive	measurement_source_value	<<vcpnd>>		value_source_value	<<vcp>>		measurement_date	<Visit_Date>														
